t,Re_c,Im_c,abs_c,rho2,V_mem_x0
73.210000,3.358755318424e-01,2.657214313702e-01,4.282759063733e-01,5.875380666550e-01,0.000000000000e+00
73.220000,3.380331153040e-01,2.688847462092e-01,4.319321634078e-01,5.862437853885e-01,0.000000000000e+00
73.230000,3.401811011860e-01,2.720730958153e-01,4.355995306134e-01,5.847253442935e-01,0.000000000000e+00
73.240000,3.423188606986e-01,2.752870472081e-01,4.392779993928e-01,5.829872888855e-01,0.000000000000e+00
73.250000,3.444457349792e-01,2.785270806627e-01,4.429674920441e-01,5.810351222620e-01,0.000000000000e+00
73.260000,3.465610352504e-01,2.817935896796e-01,4.466678613224e-01,5.788752743314e-01,0.000000000000e+00
73.270000,3.486640432745e-01,2.850868813555e-01,4.503788904839e-01,5.765150642328e-01,0.000000000000e+00
73.280000,3.507540121117e-01,2.884071771462e-01,4.541002938140e-01,5.739626561869e-01,0.000000000000e+00
73.290000,3.528301671918e-01,2.917546140126e-01,4.578317176411e-01,5.712270090906e-01,0.000000000000e+00
73.300000,3.548917077026e-01,2.951292459333e-01,4.615727418308e-01,5.683178202318e-01,0.000000000000e+00
73.310000,3.569378082994e-01,2.985310457699e-01,4.653228817521e-01,5.652454635644e-01,0.000000000000e+00
73.320000,3.589676211343e-01,3.019599074633e-01,4.690815907047e-01,5.620209230447e-01,0.000000000000e+00
73.330000,3.609802782028e-01,3.054156485400e-01,4.728482627910e-01,5.586557215803e-01,0.000000000000e+00
73.340000,3.629748940028e-01,3.088980129029e-01,4.766222362120e-01,5.551618461950e-01,0.000000000000e+00
73.350000,3.649505684972e-01,3.124066738810e-01,4.804027969650e-01,5.515516700512e-01,0.000000000000e+00
73.360000,3.669063903684e-01,3.159412375079e-01,4.841891829143e-01,5.478378720093e-01,0.000000000000e+00
73.370000,3.688414405514e-01,3.195012460008e-01,4.879805882042e-01,5.440333544286e-01,0.000000000000e+00
73.380000,3.707547960274e-01,3.230861814070e-01,4.917761679804e-01,5.401511599345e-01,0.000000000000e+00
73.390000,3.726455338588e-01,3.266954693867e-01,4.955750433816e-01,5.362043878890e-01,0.000000000000e+00
73.400000,3.745127354415e-01,3.303284831000e-01,4.993763067618e-01,5.322061113037e-01,0.000000000000e+00
73.410000,3.763554909508e-01,3.339845471637e-01,5.031790270997e-01,5.281692949293e-01,0.000000000000e+00
73.420000,3.781729039514e-01,3.376629416473e-01,5.069822555523e-01,5.241067152430e-01,0.000000000000e+00
73.430000,3.799640961414e-01,3.413629060754e-01,5.107850311048e-01,5.200308830349e-01,0.000000000000e+00
73.440000,3.817282121985e-01,3.450836434058e-01,5.145863862701e-01,5.159539692616e-01,0.000000000000e+00
73.450000,3.834644246937e-01,3.488243239539e-01,5.183853527904e-01,5.118877348051e-01,0.000000000000e+00
