x,linear,memory_only,anti_collapse,cubic_only
-27.500000,6.45340547e-24,8.75086866e-12,4.26764827e-11,4.18213737e-11
-27.343750,1.77887260e-21,9.37330288e-12,5.34306433e-12,6.65907437e-12
-27.187500,1.15163323e-20,1.74398161e-11,1.28238102e-11,5.65149462e-12
-27.031250,3.70589520e-20,3.51067173e-11,8.78573038e-11,6.20793836e-11
-26.875000,8.58335464e-20,6.12615388e-11,2.30964939e-10,1.82234215e-10
-26.718750,1.58224581e-19,9.06034325e-11,4.12660595e-10,3.46099074e-10
-26.562500,2.38391002e-19,1.14432148e-10,5.77273166e-10,5.07257284e-10
-26.406250,2.88523088e-19,1.23580951e-10,6.60532404e-10,6.05571239e-10
-26.250000,2.58899705e-19,1.13046258e-10,6.17144264e-10,5.91208871e-10
-26.093750,1.30639512e-19,8.67854568e-11,4.48570512e-10,4.52618166e-10
-25.937500,2.66792415e-21,6.03308675e-11,2.17875176e-10,2.36381367e-10
-25.781250,2.09381719e-19,5.88495393e-11,4.04546865e-11,4.65258572e-11
-25.625000,1.40628217e-18,1.09460505e-10,4.73556520e-11,1.63188118e-11
-25.468750,4.49980169e-18,2.28975826e-10,3.29889994e-10,2.56364859e-10
-25.312500,1.02675521e-17,4.11116161e-10,8.85817849e-10,7.95499219e-10
-25.156250,1.85930552e-17,6.19446618e-10,1.59282295e-09,1.54008314e-09
-25.000000,2.75134734e-17,7.92338323e-10,2.22986392e-09,2.27724027e-09
-24.843750,3.27733987e-17,8.63145859e-10,2.55051406e-09,2.73526263e-09
-24.687500,2.91439569e-17,7.92590687e-10,2.38914994e-09,2.69169254e-09
-24.531250,1.49708250e-17,6.02761879e-10,1.75991138e-09,2.09390968e-09
-24.375000,5.54788070e-19,3.96393198e-10,9.00430452e-10,1.13975341e-09
-24.218750,1.83545618e-17,3.44921986e-10,2.24843114e-10,2.67692325e-10
-24.062500,1.28629890e-16,6.36955011e-10,1.83328869e-10,3.25484333e-11
-23.906250,4.09665063e-16,1.39486997e-09,1.06833364e-09,8.88871759e-10
-23.750000,9.21162688e-16,2.58689067e-09,2.84308529e-09,2.95405715e-09
-23.593750,1.63869776e-15,3.97677760e-09,5.07717551e-09,5.85475446e-09
-23.437500,2.38125112e-15,5.15359761e-09,7.04566403e-09,8.75262820e-09
-23.281250,2.79091536e-15,5.66312594e-09,7.98609130e-09,1.05908479e-08
-23.125000,2.45798886e-15,5.22122333e-09,7.43301454e-09,1.05126660e-08
