t,norm,peak,PR,R_rms,finite,mass_w,mass_out,peak_w,n_cells_w,com_x,com_y,com_z,d_com,median_out,contrast,y_corr_w,y_corr_out,planted,alive,backend
0.745,2360.07177734375,3.4157910346984863,16351.18218328481,16.005825445995768,True,20.084684371948242,2339.9873046875,3.4157910346984863,1,8.050391080302877,0.004370896552257639,0.07826687254406457,0.0931883525371618,0.04991232603788376,68.43582148637753,0.857706784905204,0.7238428954528532,True,True,numpy
0.75,2374.880615234375,3.552036762237549,16349.304282077315,16.006666433844632,True,20.321659088134766,2354.55908203125,3.552036762237549,1,8.054856365001356,0.005011328385878641,0.0827554599937171,0.09941227465521976,0.05017435550689697,70.79386922567018,0.8644270439678066,0.7239706149920181,True,True,numpy
0.755,2389.400634765625,3.608187198638916,16350.631062240278,16.007532046337715,True,20.455663681030273,2368.945068359375,3.608187198638916,1,8.05385292833037,0.0005590378232020288,0.08072763568892936,0.09704329743453811,0.050528787076473236,71.4085456509786,0.8658081250214925,0.7239010422175215,True,True,numpy
0.76,2403.91162109375,3.705045700073242,16352.061766347993,16.009143232229878,True,20.572954177856445,2383.339111328125,3.705045700073242,1,8.052426116773002,-0.0019644295674149494,0.07575772680025182,0.09214982296978881,0.05081665515899658,72.91006636467495,0.8690079706978088,0.7239756092632239,True,True,numpy
0.765,2419.455810546875,3.7510085105895996,16350.750896656846,16.008950733502708,True,20.63705825805664,2398.81884765625,3.7510085105895996,1,8.05257352026919,-0.004379867747742603,0.07612606634922693,0.09261930820724999,0.05123329535126686,73.21427374272632,0.8707479875462033,0.7238256127931945,True,True,numpy
0.77,2434.16796875,4.001556396484375,16336.684833586867,16.00853526573141,True,20.74874496459961,2413.4189453125,4.001556396484375,1,8.053393845671417,-0.007577687749792521,0.07213584958841872,0.09006611406660907,0.051496218889951706,77.70582933546575,0.8763055311561966,0.7237753238783733,True,True,numpy
0.775,2449.559326171875,4.078805923461914,16336.117184121586,16.00864854833891,True,20.89626693725586,2428.6630859375,4.078805923461914,1,8.06021618789606,-0.007061541094699128,0.07668508606652139,0.09775713310237535,0.05188627913594246,78.6104918561497,0.8769248143060814,0.7240191086642905,True,True,numpy
0.78,2465.415771484375,4.206867694854736,16324.286447612052,16.008374812738584,True,21.044315338134766,2444.37158203125,4.206867694854736,1,8.072037941712084,-0.0034174762771597843,0.07693464510199248,0.10545180798444438,0.052318502217531204,80.4087945286223,0.8802250807145737,0.7240411682876343,True,True,numpy
0.785,2480.734130859375,4.266712665557861,16320.304644196718,16.008391708759852,True,21.040943145751953,2459.69287109375,4.266712665557861,1,8.066651778418334,-0.007433742389276614,0.07329174630136949,0.0993448547643067,0.05253174901008606,81.22159924160636,0.8824657870597405,0.7238802854604277,True,True,numpy
0.79,2495.732177734375,4.37877082824707,16326.9904754049,16.00830612792842,True,21.04210662841797,2474.68994140625,4.37877082824707,1,8.070556188498292,-0.0020853469981926835,0.06246852447256183,0.09425943431449445,0.05286533758044243,82.82876888063228,0.8841769628149783,0.7239075666027178,True,True,numpy
0.795,2511.215087890625,4.4093756675720215,16324.187243228384,16.00878281011896,True,21.158153533935547,2490.056396484375,4.4093756675720215,1,8.077156675591182,-0.00664203706142329,0.0602970836422934,0.09814788607185534,0.05316241830587387,82.94159310440611,0.8839861559880178,0.7238290560263037,True,True,numpy
0.8,2525.603759765625,4.517124652862549,16315.429879387166,16.00804709310778,True,21.212677001953125,2504.390625,4.517124652862549,1,8.081610655775343,-0.00011111895983350279,0.05542104880945857,0.09864990691655583,0.05342259258031845,84.5545757831063,0.8884538025713543,0.7234972040118706,True,True,numpy
0.805,2539.824951171875,4.6194305419921875,16309.983041942232,16.00789390251116,True,21.260894775390625,2518.5634765625,4.6194305419921875,1,8.076053927056629,0.0032892775971572886,0.05123139227471577,0.09175878553169702,0.053729135543107986,85.97626772323414,0.8905492734030848,0.7233804486992302,True,True,numpy
0.81,2554.424560546875,4.651260852813721,16302.634883320745,16.007274364632984,True,21.321395874023438,2533.103271484375,4.651260852813721,1,8.075786695103664,0.004248579824274574,0.05216213472716164,0.09210082455957477,0.05402524024248123,86.0942187751038,0.8935927815897512,0.723408438971757,True,True,numpy
0.8150000000000001,2569.812744140625,4.658359527587891,16307.310074560119,16.0080415323059,True,21.46701431274414,2548.34521484375,4.658359527587891,1,8.076952285589787,0.004016944169342962,0.05117730216354052,0.0925035477951525,0.05428960919380188,85.8057296186933,0.8954640509044107,0.7231939934704195,True,True,numpy
0.8200000000000001,2585.00732421875,4.697915554046631,16302.645791450768,16.00805808012013,True,21.568492889404297,2563.4384765625,4.697915554046631,1,8.083020317106993,0.007569327761368443,0.044321214477502056,0.09441418234600858,0.05462538078427315,86.00243122514175,0.8959426460396875,0.7232788773864492,True,True,numpy
0.8250000000000001,2600.241943359375,4.686567306518555,16295.158898560783,16.008358925157705,True,21.637134552001953,2578.60546875,4.686567306518555,1,8.079669025887886,0.008980292764490857,0.04452553907902269,0.09170781304958849,0.054954685270786285,85.280577687339,0.896544729554421,0.7234934481321045,True,True,numpy
0.8300000000000001,2614.8203125,4.720505714416504,16286.388805227598,16.007752515559833,True,21.81012535095215,2593.01025390625,4.720505714416504,1,8.085385704546884,0.003566596491972862,0.0424695849941263,0.09543115215210157,0.055275674909353256,85.39933202367362,0.8957650738339901,0.7234345938284427,True,True,numpy
0.835,2630.129638671875,4.796796798706055,16273.836585191111,16.007586566457885,True,21.925437927246094,2608.20458984375,4.796796798706055,1,8.077808143948673,0.0050501561156578376,0.03518371442557164,0.08554241697725203,0.055640943348407745,86.20983955411897,0.8964150038884556,0.7238454323410982,True,True,numpy
0.84,2645.361572265625,4.604753017425537,16278.074913583721,16.008478453833774,True,22.095195770263672,2623.2666015625,4.604753017425537,1,8.074205632916506,0.011594220264564692,0.03528742006035634,0.08298255186844107,0.056001488119363785,82.22554742850377,0.8917713240834717,0.7241177180338044,True,True,numpy
0.845,2660.18798828125,4.601016521453857,16278.522082173497,16.010863923299485,True,22.203153610229492,2637.984619140625,4.601016521453857,1,8.071750913831382,0.00401975029239219,0.026226626326807962,0.07649959448609901,0.0560961477458477,82.02018688162825,0.8890598537079105,0.724042028251857,True,True,numpy
0.85,2675.32666015625,4.433991432189941,16291.74540059207,16.010230999268273,True,22.278411865234375,2653.047607421875,4.433991432189941,1,8.071174309294552,0.0031375438432643806,0.028901366327080256,0.07688247824112475,0.056408513337373734,78.60500427782377,0.8840350654699,0.7238469880236075,True,True,numpy
0.855,2690.93798828125,4.4020771980285645,16297.491265298115,16.00871392388597,True,22.38753318786621,2668.550537109375,4.4020771980285645,1,8.071029396590877,0.004656583443309584,0.024799775983457107,0.07537829819157649,0.05685323104262352,77.42879546684473,0.8808855358384703,0.7245208915334125,True,True,numpy
0.86,2705.67333984375,4.365938186645508,16307.087961800768,16.00744928471528,True,22.533737182617188,2683.139404296875,4.365938186645508,1,8.070302151927153,0.011610016559286444,0.025486864327993377,0.07567539430600283,0.05714080482721329,76.40666245159765,0.878187105663066,0.7244202840262337,True,True,numpy
0.865,2720.990966796875,4.294440746307373,16323.919807114105,16.007469723240693,True,22.665407180786133,2698.326171875,4.294440746307373,1,8.067751799507667,0.006850908630621609,0.019505454268627914,0.07083575390872689,0.05741361528635025,74.7982987117056,0.8758215125634911,0.7242890730145957,True,True,numpy
0.87,2736.063232421875,4.232329845428467,16340.888785821508,16.007890238822018,True,22.770721435546875,2713.29296875,4.232329845428467,1,8.063986953191575,0.00330310256517356,0.024400206564623862,0.06856100018008213,0.05787605792284012,73.12747269468446,0.8707088501750202,0.7241281279363023,True,True,numpy
