snap,t,x,Re_psi
mid,4.0,0.5,0.15009426008804092
mid,4.0,1.0,-0.3432600152314049
mid,4.0,1.5,0.3410224552569018
mid,4.0,2.0,0.026616179802406117
mid,4.0,2.5,-0.0898810797432144
mid,4.0,3.0,0.23174317026586255
mid,4.0,3.5,0.5075076370674722
mid,4.0,4.0,-0.18402706086573933
mid,4.0,4.5,-0.4544409763546082
mid,4.0,5.0,-0.06303549291589647
mid,4.0,5.5,0.061411831486433074
mid,4.0,6.0,-0.9700339389608328
mid,4.0,6.5,0.316350144348599
mid,4.0,7.0,0.5927394280225082
mid,4.0,7.5,0.26743016502158823
mid,4.0,8.0,-0.08700599216085941
mid,4.0,8.5,0.13317093727150195
mid,4.0,9.0,0.7713367576030389
mid,4.0,9.5,-0.5151168598227881
mid,4.0,10.0,0.4555593362627772
mid,4.0,10.5,0.33831973906795426
mid,4.0,11.0,0.08015350854751034
mid,4.0,11.5,0.4383327087456722
mid,4.0,12.0,-0.49534497479798023
mid,4.0,12.5,0.07152130835224182
mid,4.0,13.0,-0.49874704931035896
mid,4.0,13.5,0.09193185595997316
mid,4.0,14.0,-0.21303199624227276
mid,4.0,14.5,-0.26212531948165463
mid,4.0,15.0,0.357115829122279
mid,4.0,15.5,0.07101528992257672
late,8.0,-16.0,0.29978170790980435
late,8.0,-15.5,0.3178864736967943
late,8.0,-15.0,-0.00471230550694425
late,8.0,-14.5,-0.0441882835368438
late,8.0,-14.0,-0.2621606299255934
late,8.0,-13.5,-0.6701431534289417
late,8.0,-13.0,0.3790237168699646
late,8.0,-12.5,-0.46064600912241555
late,8.0,-12.0,0.42664827815640743
late,8.0,-11.5,-0.35926568136096354
late,8.0,-11.0,0.7074663197621387
late,8.0,-10.5,-0.3071578658424735
late,8.0,-10.0,0.23522218908241074
late,8.0,-9.5,0.21750004978005832
late,8.0,-9.0,0.31608128875928004
late,8.0,-8.5,-0.28881200024310727
late,8.0,-8.0,0.5302326703504979
late,8.0,-7.5,-0.37337791150849453
late,8.0,-7.0,0.09392932831393667
late,8.0,-6.5,-0.3521192656375685
late,8.0,-6.0,0.6759291773053144
late,8.0,-5.5,-0.928927214680555
late,8.0,-5.0,0.7637206492873441
late,8.0,-4.5,-0.7056626152801261
late,8.0,-4.0,0.27737057072511084
late,8.0,-3.5,-0.13034808198822878
late,8.0,-3.0,0.1730588915950536
late,8.0,-2.5,0.42799231373341834
late,8.0,-2.0,0.46736597988817574
late,8.0,-1.5,-0.9767209762567655
late,8.0,-1.0,0.6492309081190285
late,8.0,-0.5,-0.5793494504948778
late,8.0,0.0,0.39035788482756734
late,8.0,0.5,-0.32971448830536715
late,8.0,1.0,0.2213269336616437
late,8.0,1.5,-0.22342697117115473
late,8.0,2.0,1.128811222562996
late,8.0,2.5,-0.2506022740745238
late,8.0,3.0,0.28223248066056994
late,8.0,3.5,0.35790476575387836
late,8.0,4.0,0.7918546810361158
late,8.0,4.5,-0.49389086451685454
late,8.0,5.0,0.0743530471561929
late,8.0,5.5,-0.8186958427822796
late,8.0,6.0,-0.235892815035298
late,8.0,6.5,-0.7971583788024958
late,8.0,7.0,0.10624378207492861
late,8.0,7.5,-0.013268960244702283
late,8.0,8.0,0.5038835922188646
late,8.0,8.5,0.4269153337349556
late,8.0,9.0,-0.3243466508089622
late,8.0,9.5,0.5226790792484739
late,8.0,10.0,-0.4726079144479629
late,8.0,10.5,0.7441799119802301
late,8.0,11.0,-0.4294761345235382
late,8.0,11.5,0.8350009411817979
late,8.0,12.0,0.07227295824020324
late,8.0,12.5,0.7463794661764427
late,8.0,13.0,-0.004758719624674834
late,8.0,13.5,0.33925786236436556
late,8.0,14.0,0.2545915584469396
late,8.0,14.5,-0.11458569103022764
late,8.0,15.0,0.1343197292893581
late,8.0,15.5,0.48159861801685133
