t,planted,norm,peak,PR,R_rms,mass_p,peak_p,d_p,mass_m,peak_m,d_m,peak_in_p,peak_in_m
0.975,True,3051.8642578125,3.0953853130340576,16398.018694338818,16.00170160032143,25.882219314575195,3.0953853130340576,0.043362428940609724,25.1317081451416,1.0264451503753662,0.06387233512606189,True,False
0.98,True,3066.67578125,3.044482946395874,16396.742100219937,16.001680250516042,25.939472198486328,3.044482946395874,0.04601770156644409,25.197782516479492,1.0316873788833618,0.06471548811401562,True,False
0.985,True,3080.49267578125,2.920069456100464,16402.957218073523,16.002128992236106,26.07529067993164,2.920069456100464,0.047007254313365616,25.35208511352539,0.9838547706604004,0.07126714622149613,True,False
0.99,True,3095.31005859375,2.9233686923980713,16406.2170319407,16.002132083602277,26.257801055908203,2.9233686923980713,0.047310051490845176,25.441429138183594,0.9319747090339661,0.07409303994685414,True,False
0.995,True,3109.78076171875,2.7993550300598145,16411.324192732704,16.001266375368296,26.334903717041016,2.7993550300598145,0.040184363519688814,25.589170455932617,0.8876069784164429,0.07312241923698115,True,False
1.0,True,3124.5087890625,2.665130853652954,16417.77910232669,16.002372887063057,26.54752540588379,2.665130853652954,0.036057809177602845,25.744338989257812,0.8394188284873962,0.06439872892335892,True,False
1.0050000000000001,True,3139.418212890625,2.5781044960021973,16438.139270071206,16.00265448935047,26.797372817993164,2.5781044960021973,0.03967193261176189,25.858667373657227,0.8029310703277588,0.06506561495185967,True,False
1.01,True,3153.113037109375,2.4532294273376465,16435.872420611886,16.00137826924778,26.960323333740234,2.4532294273376465,0.043491886133676674,26.10793685913086,0.7715096473693848,0.061815846165232814,True,False
1.0150000000000001,True,3167.537109375,2.3675661087036133,16442.566381993285,16.00028663404708,27.09598731994629,2.3675661087036133,0.04961698475438495,26.186084747314453,0.7386130690574646,0.055728465708858047,True,False
1.02,True,3182.100830078125,2.257171392440796,16443.81962314847,16.00060775957999,27.248010635375977,2.257171392440796,0.03831333212486273,26.270484924316406,0.6637325882911682,0.05703408316931712,True,False
1.025,True,3197.6796875,2.1883955001831055,16445.955490601165,15.998930952047848,27.35059356689453,2.1883955001831055,0.03788981894317287,26.375612258911133,0.6643245816230774,0.05698901763196163,True,False
1.03,True,3212.4560546875,2.0502140522003174,16456.06137256406,16.00026994479939,27.384235382080078,2.0502140522003174,0.03520451589691456,26.52266502380371,0.6468924880027771,0.054103809975959614,True,False
1.035,True,3227.171875,1.9541406631469727,16458.59536379101,16.00025755542115,27.51519012451172,1.9541406631469727,0.032518620572298595,26.738449096679688,0.6232948899269104,0.05471437038709512,True,False
1.04,True,3241.29833984375,1.9136741161346436,16461.79610010603,15.998877898571367,27.614471435546875,1.9136741161346436,0.031207503993068306,26.95941925048828,0.6248204112052917,0.054130354788639375,True,False
1.045,True,3256.367919921875,1.858669638633728,16458.002554109287,15.997884035268832,27.74627685546875,1.858669638633728,0.029781299781719416,27.158607482910156,0.6343150734901428,0.05320826395968616,True,False
1.05,True,3272.86181640625,1.8362634181976318,16460.914242573155,15.99936540135864,27.859209060668945,1.7753961086273193,0.018257820019434903,27.284475326538086,0.6261355876922607,0.048889859419718365,False,False
1.055,True,3287.89599609375,1.939315676689148,16456.845411582355,15.999575093085667,27.9976749420166,1.63057541847229,0.016666235146764855,27.343177795410156,0.6500504612922668,0.049944163976253605,False,False
1.06,True,3302.80517578125,2.0023152828216553,16457.935000781243,16.000412941161194,28.070812225341797,1.5968644618988037,0.015067260221926582,27.53742790222168,0.6447926759719849,0.05108929684918563,False,False
1.065,True,3317.05419921875,2.025259494781494,16449.47672628334,15.999831667440718,28.220487594604492,1.463898777961731,0.01898922862296361,27.681743621826172,0.6302480697631836,0.052216555243837795,False,False
1.07,True,3331.230224609375,2.0494184494018555,16449.68374994094,16.000446974086927,28.352020263671875,1.3466728925704956,0.019502557848662,27.766700744628906,0.649016797542572,0.05448499264168654,False,False
1.075,True,3345.421142578125,2.0708305835723877,16445.88397672121,16.0021323862421,28.492956161499023,1.2469687461853027,0.012124696182872466,27.879907608032227,0.6886760592460632,0.05865954969109001,False,False
1.08,True,3358.664794921875,2.0731098651885986,16439.20116421216,16.00143134837522,28.578990936279297,1.1529245376586914,0.010702268689903751,28.03135871887207,0.7171424627304077,0.06272914629182649,False,False
1.085,True,3373.55126953125,2.0879034996032715,16433.27183720998,16.002001936521758,28.631654739379883,1.0186445713043213,0.014162423174670171,28.21428108215332,0.7523301243782043,0.058692389150469405,False,False
1.09,True,3388.57666015625,2.087245225906372,16422.062706568053,16.000500679079273,28.854089736938477,0.9355431199073792,0.019168272232993496,28.293682098388672,0.7565386295318604,0.05808899499906551,False,False
1.095,True,3403.025146484375,2.166862964630127,16419.137956331386,16.00047971190374,28.88336944580078,0.9214671850204468,0.022133741708444597,28.43741226196289,0.7752259373664856,0.061927505890798054,False,False
1.1,True,3416.509033203125,2.1673080921173096,16418.42616261962,16.000383291453876,29.00147247314453,0.9228804111480713,0.028139456537638816,28.645368576049805,0.7947080731391907,0.06586056970729326,False,False
1.105,True,3431.19677734375,2.1508538722991943,16422.09466569459,15.999414105476866,29.141464233398438,0.900460958480835,0.027288891831940637,28.792217254638672,0.8276751637458801,0.06798340308589068,False,False
1.11,True,3446.28076171875,2.060925245285034,16416.525347793184,15.999937156280573,29.180580139160156,0.862650454044342,0.025991768460227833,28.9141788482666,0.8362269401550293,0.07522849595579115,False,False
1.115,True,3460.28125,2.031325578689575,16416.232272418907,15.99984869867529,29.17791175842285,0.7933418154716492,0.031164126545543056,29.03339195251465,0.8059244751930237,0.07357746280259111,False,False
1.12,True,3474.999755859375,1.9729702472686768,16420.93779619976,15.997722517744,29.356971740722656,0.7792443633079529,0.03693692223696978,29.181686401367188,0.8421865105628967,0.07624646673795756,False,False
1.125,True,3490.245361328125,1.9285351037979126,16422.086942949434,15.998290697319206,29.47330665588379,0.8164140582084656,0.0352261174591955,29.365013122558594,0.8669362664222717,0.08228269574010887,False,False
1.1300000000000001,True,3504.18505859375,1.8595740795135498,16430.937740177123,15.998554222652563,29.465557098388672,0.8305238485336304,0.03308260722949883,29.533716201782227,0.896233081817627,0.08352039073987745,False,False
1.135,True,3518.565673828125,1.7568968534469604,16437.31294244114,15.999654521594834,29.504119873046875,0.8568373918533325,0.03042878254022436,29.655994415283203,0.8750808835029602,0.08253909410625994,False,False
1.1400000000000001,True,3532.35009765625,1.676613688468933,16440.8406036982,15.998533879465436,29.722332000732422,0.873529851436615,0.037607256516050395,29.858333587646484,0.9164549112319946,0.08660209348101916,False,False
1.145,True,3545.3701171875,1.6393790245056152,16440.01830028762,15.998584025452688,29.808860778808594,0.8783137202262878,0.03758892806319565,29.908966064453125,0.9594038724899292,0.0845036382397442,False,False
1.1500000000000001,True,3559.97412109375,1.5825412273406982,16439.901020019337,15.998119333324357,29.886592864990234,0.8199548721313477,0.04081831512972299,30.072860717773438,0.9956367015838623,0.08218284860683965,False,False
1.155,True,3573.016845703125,1.4580645561218262,16450.94494777925,15.997872131523838,29.98590850830078,0.8233107328414917,0.040075774155750477,30.11319351196289,1.012622356414795,0.08789067659639957,False,False
1.16,True,3587.48828125,1.3688547611236572,16465.05722446111,15.998110391236965,29.97293472290039,0.7987361550331116,0.04359492519614324,30.173660278320312,0.9926745891571045,0.08730114877073421,False,False
1.165,True,3600.80908203125,1.3433700799942017,16477.268289695447,15.998953986453678,30.187978744506836,0.7825027704238892,0.04446820643828851,30.28122329711914,1.0341380834579468,0.0867817630474719,False,False
1.17,True,3615.073974609375,1.4012409448623657,16489.1619341502,15.999407998531556,30.27924346923828,0.7847714424133301,0.04450548273041337,30.406949996948242,1.00371253490448,0.08363844713797655,False,False
1.175,True,3629.74853515625,1.4585551023483276,16491.0068521685,15.999707692879097,30.40001678466797,0.8285077810287476,0.04608854394178153,30.577259063720703,0.9172113537788391,0.08517449877485792,False,False
1.18,True,3644.37841796875,1.5730507373809814,16494.266988475178,16.000203463623915,30.619537353515625,0.8334355354309082,0.03961297664214777,30.765682220458984,0.8865252137184143,0.09415185078898443,False,False
1.185,True,3659.09814453125,1.5280890464782715,16494.054278354,16.00028630278231,30.79944610595703,0.8712143898010254,0.04167881086165401,30.885299682617188,0.8478067517280579,0.09651174009555369,False,False
1.19,True,3674.6865234375,1.5594100952148438,16495.410755751243,16.001072147343486,31.028413772583008,0.844862699508667,0.0365466598065812,31.008140563964844,0.8545106649398804,0.09877412155431535,False,False
1.195,True,3688.52001953125,1.6017242670059204,16492.67801849017,16.00084407810791,31.165485382080078,0.8364385366439819,0.035230984799450735,31.078929901123047,0.8525905609130859,0.10212873356617024,False,False
1.2,True,3703.2802734375,1.5540549755096436,16487.926583162778,16.000810191244607,31.33200454711914,0.7872537970542908,0.034026496182764376,31.122802734375,0.878810465335846,0.10364671937511664,False,False
