t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,seed,N,dx,backend
5.7,14183.7607421875,3.5206680297851562,18717.785452840923,15.995171278250037,15.732132722552274,19.235384061671343,20.886598574205422,6.584758550673723,1.6069766792063547,10.701049976290232,342.4335992412874,0.9999956488609314,0.7157234406166326,0.29587842288125654,0.011727847691102892,True,1702,7.406681144744015,3.7033405723720074,False,25,64,0.5,mlx
5.8,14372.8203125,3.3762805461883545,18724.562133245534,15.992463860751972,15.732132722552274,19.222382786741086,20.886598574205422,6.283010493963957,1.630578216221302,10.701049976290232,342.4335992412874,0.9999960064888,0.7115396701388428,0.29993278002995066,0.012123519151318225,True,2477,8.393552266059674,4.196776133029837,False,25,64,0.5,mlx
5.9,14552.5234375,3.5502288341522217,18763.64049579416,15.989373739416951,15.732132722552274,19.222382786741086,20.886598574205422,7.508963198959828,1.6543109555779116,10.701049976290232,342.4335992412874,0.9999902248382568,0.71185913903339,0.30478967901208076,0.012560519220529354,True,1880,7.656372945784155,3.8281864728920776,False,25,64,0.5,mlx
6.0,14732.0,3.51824951171875,18779.943048181867,15.986691340780775,15.732132722552274,19.222382786741086,20.8806130178211,6.8129846535623075,1.677714823072621,10.701049976290232,342.4335992412874,0.9999885559082031,0.7107900644696907,0.30912791208130047,0.012986830434987252,True,2189,8.05475590856256,4.02737795428128,False,25,64,0.5,mlx
6.1000000000000005,14916.7861328125,4.152398109436035,18816.648639039904,15.986731146754574,15.732132722552274,19.222382786741086,20.868636754709208,6.531780595332384,1.7010200956069765,10.897399517139595,348.71678454846705,0.9999894499778748,0.709078818908055,0.31345562200935206,0.013422309488365593,True,699,5.505492670749467,2.7527463353747335,False,25,64,0.5,mlx
6.2,15086.349609375,3.504983901977539,18886.262575374385,15.987695271991365,15.732132722552274,19.215878850575635,20.8806130178211,6.403353444486856,1.7241465357583126,10.897399517139595,348.71678454846705,0.9999891519546509,0.7102569309643392,0.3188830498884864,0.013914888204423234,True,2406,8.312576808651544,4.156288404325772,False,25,64,0.5,mlx
6.3,15246.111328125,3.4318034648895264,18853.154462216942,15.98936112752972,15.724185193516387,19.215878850575635,20.886598574205422,6.129088573157787,1.7460235899990577,10.897399517139595,348.71678454846705,0.9999844431877136,0.7066558553811821,0.32280772262890395,0.014353640381180982,True,2985,8.932065696863553,4.466032848431777,False,25,64,0.5,mlx
6.4,15412.70703125,3.628462076187134,18970.005191747765,15.99132764234073,15.724185193516387,19.222382786741086,20.886598574205422,6.7326174937188625,1.7678492472227831,10.897399517139595,348.71678454846705,0.9999843835830688,0.7088738293417752,0.32886431364340746,0.014899052210473647,True,2140,7.994200835377938,3.997100417688969,False,25,64,0.5,mlx
6.5,15582.591796875,3.640796422958374,18942.803957908603,15.997344000182352,15.732132722552274,19.222382786741086,20.886598574205422,6.715219981968403,1.7896936431489423,10.897399517139595,348.71678454846705,0.9999855160713196,0.7054007209006252,0.3321222076871231,0.015329739794383412,True,2233,8.10836651088251,4.054183255441255,False,25,64,0.5,mlx
6.6000000000000005,15756.904296875,4.2457709312438965,19031.490730065972,16.00053191603951,15.732132722552274,19.222382786741086,20.886598574205422,6.4302117459476,1.8120389670334802,10.897399517139595,348.71678454846705,0.9999882578849792,0.705537738813667,0.3371144483587879,0.015850097802235313,True,798,5.754020798370341,2.8770103991851705,False,25,64,0.5,mlx
