t,norm,peak,R_rms,r50,r80,r90,PR,Vmem_peak,Vmem_mean,n_atoms_detected,n_raw_maxima,nn_mean,nn_median
4.5,12.553487915376616,0.003977780063376691,15.974384810740561,15.737852458324802,19.249935064825543,20.90741495259517,16413.373938487948,0.011083077583144436,0.0013946287514491455,1025,2324,2.5428791778697977,2.5298221281346787
4.6000000000000005,12.760961138065426,0.0044752180242960665,15.978013114976818,15.737852458324804,19.249935064825543,20.90741495259517,16407.238613106372,0.011739840364643109,0.001420341593148419,1006,2224,2.556946760821998,2.5298221281346787
4.7,12.972603280721993,0.005199676963977838,15.98088406920478,15.75817248287377,19.249935064825543,20.90741495259517,16358.476479390156,0.012986849081870904,0.0014462689488639207,961,2056,2.5559903253865865,2.5298221281347057
4.8,13.190379164183794,0.004906340879270736,15.97925326304649,15.758172482873771,19.249935064825547,20.876781361119825,16302.28113190483,0.014739550478651189,0.001472975513268355,970,2178,2.574078162563812,2.5298221281347057
4.9,13.386071294638436,0.00473907142191349,15.982858032218575,15.778466338652814,19.266551326067674,20.90741495259517,16310.532835766702,0.013379305367616641,0.0014990184945379904,981,2250,2.585899880688549,2.5298221281347057
5.0,13.594308057867007,0.00411517736215593,15.98263426205655,15.737852458324804,19.266551326067674,20.90741495259517,16430.63769212,0.013116632862521129,0.0015250260462510515,1020,2350,2.5521291797533388,2.529822128134697
5.1000000000000005,13.795254995756144,0.004585586592967329,15.979925075437006,15.737852458324804,19.249935064825547,20.876781361119825,16538.231951953174,0.012028314905777793,0.001550714687139532,996,2262,2.5654401745158535,2.5298221281347057
5.2,13.98353867994592,0.004880282088504339,15.977214629917366,15.737852458324804,19.249935064825547,20.87678136111982,16468.479778081542,0.013356422665935916,0.0015756943739645552,993,2258,2.559542320534275,2.5298221281347057
5.3,14.18048246434606,0.005617507063981429,15.9772562711417,15.758172482873768,19.249935064825543,20.876781361119825,16380.711509633584,0.014425877064818373,0.0016007794044445335,967,2073,2.5641631878054385,2.5298221281347057
5.4,14.364023340654324,0.005115733152723616,15.97818146081774,15.75817248287377,19.249935064825543,20.87678136111982,16348.610567206299,0.014177458031514283,0.0016256653126462792,969,2212,2.577221571231703,2.5298221281347057
