seed,corda,size,elong,atoms,rho_mean,rho_max,vort,b1,b2,b3,b4,b5,b6,b7,b8
2,381,27,4.6062,1,0.009566,0.012848,0.07407,0.023894,0.116846,0.180819,0.211761,0.180548,0.129063,0.088169,0.068899
2,382,29,2.3139,1,0.010955,0.016282,0.0,0.02545,0.142389,0.228767,0.221896,0.16226,0.105585,0.066948,0.046704
2,383,13,2.0083,0,0.009178,0.010506,0.07692,0.013049,0.083645,0.170484,0.218397,0.199479,0.146522,0.097978,0.070446
2,384,53,1.67,1,0.011767,0.018068,0.15094,0.045406,0.239925,0.33165,0.22931,0.087848,0.02596,0.018122,0.021779
2,385,14,5.6203,1,0.009891,0.012596,0.0,0.013833,0.081509,0.146911,0.173577,0.167588,0.151391,0.136283,0.128908
2,386,16,666087.4507,1,0.009278,0.011275,0.1875,0.015126,0.075343,0.119877,0.152938,0.163496,0.158355,0.157257,0.157609
2,388,21,1.752,1,0.010634,0.015099,0.14286,0.01939,0.117264,0.213753,0.232396,0.172787,0.104635,0.070852,0.068922
2,391,27,2.5281,1,0.009342,0.011159,0.22222,0.025442,0.145805,0.239548,0.22644,0.151973,0.09661,0.066464,0.047718
2,392,50,1.6534,1,0.011326,0.017521,0.1,0.04345,0.233282,0.330895,0.232964,0.086127,0.025351,0.023086,0.024845
2,396,9,1.459,0,0.008738,0.010082,0.44444,0.009919,0.066069,0.144996,0.206736,0.21421,0.174275,0.114766,0.069028
2,397,10,1.6974,0,0.00912,0.009801,0.1,0.009819,0.065283,0.142933,0.203743,0.212505,0.176382,0.119827,0.069509
2,398,9,451720.4957,1,0.009921,0.012541,0.0,0.009307,0.058839,0.118633,0.156629,0.164125,0.162377,0.163685,0.166405
2,399,26,1.4542,1,0.011676,0.016717,0.03846,0.023656,0.143354,0.259759,0.271631,0.177035,0.074146,0.025262,0.025155
2,401,31,2.0412,1,0.010991,0.014935,0.09677,0.027926,0.15739,0.25555,0.245189,0.16181,0.080187,0.037822,0.034126
2,403,10,2.1443,1,0.009952,0.012658,0.1,0.010161,0.066719,0.142632,0.196636,0.198268,0.163686,0.123079,0.098819
2,404,11,3.6031,0,0.00929,0.010699,0.0,0.011086,0.068577,0.132943,0.167562,0.169614,0.163462,0.153169,0.133587
2,405,30,2.5384,1,0.010125,0.014378,0.0,0.027479,0.150133,0.233597,0.22015,0.153793,0.09508,0.064024,0.055744
2,406,8,1.6839,1,0.009481,0.011361,0.125,0.008345,0.056157,0.125915,0.186212,0.204527,0.182438,0.138579,0.097827
2,408,23,2.6923,1,0.009967,0.01237,0.08696,0.021538,0.125878,0.217351,0.226749,0.173585,0.11538,0.071468,0.04805
2,409,10,3.5678,1,0.01036,0.013165,0.0,0.010223,0.065342,0.133612,0.176499,0.177835,0.160717,0.144235,0.131539
2,410,13,2.1981,1,0.010252,0.013599,0.0,0.012875,0.082385,0.167753,0.215748,0.199669,0.149365,0.100161,0.072045
