kind,seed,family,score,best,best_score,kstar_used,kstar_own,kstarL_used,n_shell,C,C_star,M
isotropic_inj,21,FCC,0.0,BCC,0.5507173183212548,0.3141592653589793,16.650441064025905,6.283185307179586,18,0.9999773940095483,0.0007118595973811989,
isotropic_inj,21,HCP,0.5204654388390715,BCC,0.5507173183212548,0.3141592653589793,16.650441064025905,6.283185307179586,18,0.9999773940095483,0.0007118595973811989,
isotropic_ownk,22,SC,0.0,FCC,1.0,16.650441064025905,16.650441064025905,333.0088212805181,168,0.999984063743568,0.000722570009339569,
isotropic_ownk,22,BCC,0.045489993310685525,FCC,1.0,16.650441064025905,16.650441064025905,333.0088212805181,168,0.999984063743568,0.000722570009339569,
isotropic_ownk,22,FCC,1.0,FCC,1.0,16.650441064025905,16.650441064025905,333.0088212805181,168,0.999984063743568,0.000722570009339569,
isotropic_ownk,22,HCP,0.0,FCC,1.0,16.650441064025905,16.650441064025905,333.0088212805181,168,0.999984063743568,0.000722570009339569,
isotropic_inj,22,SC,0.3119188120275965,BCC,0.6880811879724034,0.3141592653589793,16.650441064025905,6.283185307179586,18,0.999984063743568,0.000722570009339569,
isotropic_inj,22,BCC,0.6880811879724034,BCC,0.6880811879724034,0.3141592653589793,16.650441064025905,6.283185307179586,18,0.999984063743568,0.000722570009339569,
isotropic_inj,22,FCC,0.0,BCC,0.6880811879724034,0.3141592653589793,16.650441064025905,6.283185307179586,18,0.999984063743568,0.000722570009339569,
isotropic_inj,22,HCP,0.5999805996886228,BCC,0.6880811879724034,0.3141592653589793,16.650441064025905,6.283185307179586,18,0.999984063743568,0.000722570009339569,
isotropic_ownk,23,SC,0.5279579841408346,BCC,0.8822793194163794,0.9424777960769379,0.9424777960769379,18.84955592153876,98,0.9999768682547665,0.0004428130054155714,
isotropic_ownk,23,BCC,0.8822793194163794,BCC,0.8822793194163794,0.9424777960769379,0.9424777960769379,18.84955592153876,98,0.9999768682547665,0.0004428130054155714,
isotropic_ownk,23,FCC,0.5703264603265071,BCC,0.8822793194163794,0.9424777960769379,0.9424777960769379,18.84955592153876,98,0.9999768682547665,0.0004428130054155714,
isotropic_ownk,23,HCP,0.6222223090237244,BCC,0.8822793194163794,0.9424777960769379,0.9424777960769379,18.84955592153876,98,0.9999768682547665,0.0004428130054155714,
isotropic_inj,23,SC,0.2686756400905704,BCC,0.7313243599094296,0.3141592653589793,0.9424777960769379,6.283185307179586,18,0.9999768682547665,0.0004428130054155714,
