t,norm,peak,PR,R_rms,peak_n_cells_half,peak_width_phys,artifact_1_2_cells,finite,ic,seed,N,dx,backend
0.5650000000000001,1803.144775390625,0.6872318983078003,16387.355920886417,16.002694164467393,508,2.4749230778121736,False,True,1atom,0,64,0.5,mlx
0.5700000000000001,1819.384521484375,0.6940120458602905,16389.75736425449,16.003324704023807,520,2.4942591981125846,False,True,1atom,0,64,0.5,mlx
0.5750000000000001,1835.3465576171875,0.7019011974334717,16393.298887784073,16.00502038624302,524,2.5006384054297244,False,True,1atom,0,64,0.5,mlx
0.58,1850.8353271484375,0.6726710796356201,16391.164971606315,16.00461370621989,720,2.780041634445638,False,True,1atom,0,64,0.5,mlx
0.585,1866.442626953125,0.6833660006523132,16395.247490711237,16.003968530595557,662,2.703293069806564,False,True,1atom,0,64,0.5,mlx
0.59,1881.854736328125,0.685102105140686,16395.70980209592,16.00452327523035,666,2.7087268393421344,False,True,1atom,0,64,0.5,mlx
0.595,1897.5025634765625,0.67561936378479,16384.40490255952,16.00550031641477,774,2.847874114498477,False,True,1atom,0,64,0.5,mlx
0.6,1912.8875732421875,0.7148962616920471,16386.61695789692,16.006721106927923,597,2.6117518536511692,False,True,1atom,0,64,0.5,mlx
0.605,1928.5771484375,0.7510784864425659,16380.562915973349,16.00525533107826,460,2.3943800122971246,False,True,1atom,0,64,0.5,mlx
0.61,1943.090087890625,0.7615793347358704,16376.921476332724,16.004918783118477,443,2.3645130211471987,False,True,1atom,0,64,0.5,mlx
0.615,1958.66650390625,0.7681240439414978,16371.097597650116,16.004620027200165,431,2.342967285345629,False,True,1atom,0,64,0.5,mlx
0.62,1973.85791015625,0.7938448190689087,16373.571609881956,16.00384384849484,368,2.2227455057007925,False,True,1atom,0,64,0.5,mlx
0.625,1989.47412109375,0.7561865448951721,16368.600304001624,16.003269304244153,534,2.5164456419024015,False,True,1atom,0,64,0.5,mlx
