t,norm,peak,PR,R_rms,peak_n_cells_half,peak_width_phys,artifact_1_2_cells,finite,n_det,pair_sep,ic,seed,N,dx,backend
0.49,1570.1661376953125,3.0774781703948975,16280.673049558505,16.004070150289163,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.495,1585.96533203125,3.0706100463867188,16288.47094779175,16.00341570645298,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.5,1601.58984375,3.0852034091949463,16279.79726282133,16.002697695676385,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.505,1617.89208984375,3.0623793601989746,16281.260342522199,16.001628034399676,1,0.31017524544970004,True,True,2,21.12463017427761,2atom,0,64,0.5,mlx
0.51,1633.85986328125,3.072469472885132,16282.717415435634,16.00191228246885,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.515,1649.3583984375,3.033595561981201,16286.978164424658,16.001200605307464,1,0.31017524544970004,True,True,2,17.363755354185336,2atom,0,64,0.5,mlx
0.52,1665.07275390625,2.9986326694488525,16285.79812623496,16.001514494475767,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.525,1679.7509765625,3.018503427505493,16285.843234585742,16.001994104225705,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.53,1695.0198974609375,3.0122597217559814,16289.824556848524,16.00183812941546,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.535,1709.955322265625,3.110208511352539,16284.035458655748,16.003347576256274,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.54,1725.6417236328125,3.2493183612823486,16283.319356563452,16.002233713294938,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.545,1741.194091796875,3.2220702171325684,16281.061101364787,16.00268010688475,1,0.31017524544970004,True,True,2,17.363755354185336,2atom,0,64,0.5,mlx
0.55,1756.91748046875,3.2902824878692627,16284.381779859497,16.002650503024537,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.555,1773.039306640625,3.402989149093628,16281.177366654469,16.002391736362632,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.56,1788.3392333984375,3.3215978145599365,16278.501427656054,16.001744377454987,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.5650000000000001,1803.304443359375,3.317007064819336,16281.483873771931,16.002129071023205,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.5700000000000001,1819.560546875,3.382723808288574,16280.885206513385,16.00269310116741,1,0.31017524544970004,True,True,2,16.91892431568863,2atom,0,64,0.5,mlx
0.5750000000000001,1835.5234375,3.5286667346954346,16276.313789405494,16.004387888919155,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.58,1851.039306640625,3.7489757537841797,16261.376960978243,16.003870269162555,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.585,1866.6376953125,3.8203659057617188,16262.719478543593,16.00326733904998,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.59,1882.0535888671875,3.9255874156951904,16257.837377623577,16.003813389168336,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.595,1897.70556640625,3.9709386825561523,16246.177493444477,16.00477806999802,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.6,1913.09814453125,4.101853847503662,16242.861421037725,16.005973181399483,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.605,1928.7705078125,4.210606575012207,16232.041168471656,16.004580920129126,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.61,1943.274169921875,4.262223720550537,16227.324392226472,16.004286631997118,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.615,1958.8717041015625,4.4277262687683105,16211.981645104179,16.00390717489564,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.62,1974.036865234375,4.513711929321289,16210.804540934605,16.00323864399184,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.625,1989.6826171875,4.55440092086792,16205.615923387892,16.002550839936248,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.63,2004.029296875,4.647159576416016,16192.730422859468,16.003042707611765,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.635,2019.1405029296875,4.658323287963867,16194.894847136124,16.003997994566436,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.64,2034.238525390625,4.755240440368652,16196.693303824659,16.002514113043016,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.645,2050.51953125,4.731664180755615,16202.231389063129,16.00092474875658,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.65,2066.11669921875,4.754425525665283,16213.387282675945,16.000518551752805,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.655,2081.79345703125,4.721224784851074,16219.214857673374,16.00071489601921,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.66,2097.586181640625,4.713891983032227,16224.270171439739,16.000816963963768,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.665,2112.1083984375,4.623379230499268,16237.00218555133,16.002196509646364,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.67,2127.296875,4.574246883392334,16247.870773542083,16.00026773595927,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.675,2142.8056640625,4.512746810913086,16255.022021323808,16.00019076483982,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.68,2158.402099609375,4.481526851654053,16257.732278049209,16.000179771066332,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.685,2173.5634765625,4.522934913635254,16252.677206748447,16.002619509410955,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.6900000000000001,2188.85498046875,4.55972146987915,16253.233958059838,16.002758432362118,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.6950000000000001,2204.914794921875,4.635941505432129,16258.315866435043,16.00279113938592,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.7000000000000001,2220.185546875,4.723771095275879,16262.406545054806,16.003144241255814,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.705,2236.003662109375,4.768674373626709,16267.005446586905,16.00314720303121,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.71,2251.60693359375,4.753227710723877,16269.08603205333,16.00263710282953,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.715,2267.205810546875,4.676557540893555,16281.10938016552,16.003814452839446,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
